Ticker,RequestedDate,ReportDate,Close,RSI_14,"Stoch%K(14,3)",Stoch%D(3),SMA_200,Gap_from_SMA200_%,US10Y_Yield_%,NASDAQ_Drawdown,Error
GGLL,2024-07-06,2024-07-05,51.61,71.73,95.61,85.89,34.921,47.79,4.272%,ATH,
GGLL,2024-07-11,2024-07-10,51.8,69.58,89.4,91.28,35.224,47.06,4.280%,ATH,
GGLL,2024-09-16,2024-09-13,33.98,43.87,32.76,20.71,37.1245,-8.47,3.650%,-5.17%,
GGLL,2024-09-17,2024-09-16,34.24,44.96,44.4,32.17,37.1389,-7.81,3.621%,-5.66%,
GGLL,2024-10-08,2024-10-07,35.92,48.65,60.71,70.57,37.6222,-4.52,4.026%,-3.88%,
GGLL,2024-10-30,2024-10-29,38.64,62.84,78.51,59.22,37.9902,1.71,4.274%,ATH,
GGLL,2024-10-31,2024-10-30,40.77,70.19,77.84,71.26,38.0313,7.2,4.266%,-0.56%,
GGLL,2024-11-23,2024-11-22,35.83,39.59,25.34,41.68,38.6138,-7.21,4.410%,-1.53%,
GGLL,2024-12-10,2024-12-09,40.47,55.24,64.92,60.42,38.9081,4.01,4.199%,-0.62%,
GGLL,2025-03-10,2025-03-07,37.01,38.71,31.95,26.33,41.6498,-11.14,4.317%,-9.80%,
GGLL,2025-04-14,2025-04-11,29.06,44.35,44.84,35.23,39.8944,-27.16,4.493%,-17.10%,
GGLL,2025-05-08,2025-05-07,26.51,39.59,64.67,78.58,38.2438,-30.68,4.275%,-12.07%,
GGLL,2025-06-28,2025-06-27,35.64,59.33,56.3,39.23,37.3844,-4.67,4.283%,ATH,
GGLL,2025-07-02,2025-07-01,34.58,54.93,69.94,63.88,37.4221,-7.59,4.251%,-0.82%,
